Code,Ecoregion,Prov. SZ,Date Collected,Lbs Needed,Project,SZ_ER,pc_sz_er
ANMA,COAST RANGE,30-35/<2,10/11/2024,0.14,Marys Peak,30-35/<2 COAST RANGE,ANMA30-35/<2COAST RANGE
ELGL*,COAST RANGE,30-35/<2,8/23/2024,2.7394,Marys Peak,30-35/<2 COAST RANGE,ELGL30-35/<2COAST RANGE
ERRE5**,COAST RANGE,30-35/<2,7/23/2024,0.00059,Marys Peak,30-35/<2 COAST RANGE,ERRE530-35/<2COAST RANGE
ERCA14**,COAST RANGE,30-35/<2,9/18/2024,7e-05,Marys Peak,30-35/<2 COAST RANGE,ERCA1430-35/<2COAST RANGE
MANE2*,COAST RANGE,30-35/<2,9/19/2024,0.00299,Marys Peak,30-35/<2 COAST RANGE,MANE230-35/<2COAST RANGE
MAST4,COAST RANGE,30-35/<2,7/29/2024,0.00196,Marys Peak,30-35/<2 COAST RANGE,MAST430-35/<2COAST RANGE
ACMI2,COAST RANGE,30-35/<2,9/23/2024,0.04605,Mount Hebo,30-35/<2 COAST RANGE,ACMI230-35/<2COAST RANGE
CEID**,COAST RANGE,30-35/<2,9/10/2024,2.11364,Mount Hebo,30-35/<2 COAST RANGE,CEID30-35/<2COAST RANGE
DACA3,COAST RANGE,30-35/<2,7/23/2024,2.39,Mount Hebo,30-35/<2 COAST RANGE,DACA330-35/<2COAST RANGE
ERLA6,COAST RANGE,30-35/<2,10/13/2024,0.50631,Mount Hebo,30-35/<2 COAST RANGE,ERLA630-35/<2COAST RANGE
LICO,COAST RANGE,30-35/<2,10/1/2024,0.85622,Mount Hebo,30-35/<2 COAST RANGE,LICO30-35/<2COAST RANGE
PEDA2,COAST RANGE,30-35/<2,9/10/2024,0.00096,Mount Hebo,30-35/<2 COAST RANGE,PEDA230-35/<2COAST RANGE
PRVU,COAST RANGE,30-35/<2,9/18/2024,1.47,Mount Hebo,30-35/<2 COAST RANGE,PRVU30-35/<2COAST RANGE
PLCOB**,COAST RANGE,30-35/<2,6/29/2024,0.1,Mount Hebo,30-35/<2 COAST RANGE,PLCOB30-35/<2COAST RANGE
ALRU2*,CASCADES,25-30/<2,7/10/2024,0.00006,BigEddy-Ostrander,25-30/<2 CASCADES,ALRU225-30/<2CASCADES
COSE16**,CASCADES,25-30/<2,9/3/2024,0.00169,BigEddy-Ostrander,25-30/<2 CASCADES,COSE1625-30/<2CASCADES
PHCA11**,CASCADES,25-30/<2,9/5/2024,0.00009,BigEddy-Ostrander,25-30/<2 CASCADES,PHCA1125-30/<2CASCADES
OECE**,CASCADES,25-30/<2,7/7/2024,0.00778,BigEddy-Ostrander,25-30/<2 CASCADES,OECE25-30/<2CASCADES
